c_l_i_n_i_c___n_a_m_e,a_i_l_m_e_n_t,m_o_n_t_h___n_a_m_e,s_e_a_s_o_n,s_e_v_e_r_i_t_y,p_a_t_i_e_n_t___i_d,n_u_m___m_e_d_i_c_a_t_i_o_n_s,a_g_e,w_a_i_t___t_i_m_e___m_i_n_u_t_e_s,i_s___s_e_v_e_r_e,i_s___f_o_l_l_o_w___u_p
District Referral Hospital,Hypertension,June,Long Rains,Mild,75,200,33.53333333333333,27.666666666666668,0,4
District Referral Hospital,Hypertension,June,Long Rains,Moderate,64,164,30.15625,26.671875,0,2
District Referral Hospital,Hypertension,June,Long Rains,Severe,31,80,28.225806451612904,25.096774193548388,31,1
District Referral Hospital,Hypertension,November,Short Rains,Mild,95,260,31.105263157894736,29.74736842105263,0,6
District Referral Hospital,Hypertension,November,Short Rains,Moderate,68,168,34.55882352941177,29.852941176470587,0,2
District Referral Hospital,Hypertension,November,Short Rains,Severe,20,45,37.5,29.4,20,2
District Referral Hospital,Hypertension,October,Cool/Dry,Mild,104,264,32.78846153846154,28.48076923076923,0,5
District Referral Hospital,Hypertension,October,Cool/Dry,Moderate,70,169,33.142857142857146,28.142857142857142,0,6
District Referral Hospital,Hypertension,October,Cool/Dry,Severe,29,69,36.37931034482759,28.448275862068964,29,0
District Referral Hospital,Hypertension,September,Cool/Dry,Mild,83,199,37.65060240963855,28.6144578313253,0,5
District Referral Hospital,Hypertension,September,Cool/Dry,Moderate,59,152,32.28813559322034,30.71186440677966,0,1
District Referral Hospital,Hypertension,September,Cool/Dry,Severe,17,42,37.35294117647059,22.823529411764707,17,0
District Referral Hospital,Malaria,August,Cool/Dry,Mild,133,336,32.36842105263158,28.736842105263158,0,6
District Referral Hospital,Malaria,August,Cool/Dry,Moderate,112,299,31.964285714285715,29.598214285714285,0,5
District Referral Hospital,Malaria,August,Cool/Dry,Severe,42,113,34.04761904761905,37.38095238095238,42,1
District Referral Hospital,Malaria,July,Long Rains,Mild,269,637,31.171003717472118,29.323420074349443,0,12
District Referral Hospital,Malaria,July,Long Rains,Moderate,186,457,33.81720430107527,27.940860215053764,0,13
District Referral Hospital,Malaria,July,Long Rains,Severe,95,236,34.578947368421055,27.021052631578947,95,6
District Referral Hospital,Malaria,June,Long Rains,Mild,281,691,32.65124555160142,27.274021352313166,0,13
District Referral Hospital,Malaria,June,Long Rains,Moderate,196,486,33.673469387755105,30.75,0,5
District Referral Hospital,Malaria,June,Long Rains,Severe,74,200,34.729729729729726,32.945945945945944,74,2
District Referral Hospital,Malaria,November,Short Rains,Mild,342,849,32.63157894736842,29.853801169590643,0,18
District Referral Hospital,Malaria,November,Short Rains,Moderate,215,532,33.18604651162791,29.18139534883721,0,10
District Referral Hospital,Malaria,November,Short Rains,Severe,96,257,31.458333333333332,28.895833333333332,96,4
District Referral Hospital,Malaria,October,Cool/Dry,Mild,191,501,34.84293193717277,29.93193717277487,0,11
District Referral Hospital,Malaria,October,Cool/Dry,Moderate,103,243,32.66990291262136,28.883495145631066,0,3
District Referral Hospital,Malaria,October,Cool/Dry,Severe,52,121,33.07692307692308,29.98076923076923,52,3
District Referral Hospital,Malaria,September,Cool/Dry,Mild,152,371,35.06578947368421,31.026315789473685,0,11
District Referral Hospital,Malaria,September,Cool/Dry,Moderate,136,349,35.220588235294116,30.345588235294116,0,5
District Referral Hospital,Malaria,September,Cool/Dry,Severe,39,96,33.717948717948715,31.692307692307693,39,1
District Referral Hospital,Minor Injuries,August,Cool/Dry,Mild,100,247,32.2,27.89,0,4
District Referral Hospital,Minor Injuries,August,Cool/Dry,Moderate,53,130,32.924528301886795,31.37735849056604,0,3
District Referral Hospital,Minor Injuries,August,Cool/Dry,Severe,33,77,33.18181818181818,32.0,33,0
District Referral Hospital,Minor Injuries,July,Long Rains,Mild,101,240,29.554455445544555,32.12871287128713,0,3
District Referral Hospital,Minor Injuries,July,Long Rains,Moderate,58,130,32.41379310344828,27.982758620689655,0,3
District Referral Hospital,Minor Injuries,July,Long Rains,Severe,23,55,33.26086956521739,27.043478260869566,23,1
District Referral Hospital,Minor Injuries,June,Long Rains,Mild,73,188,32.397260273972606,27.602739726027398,0,2
District Referral Hospital,Minor Injuries,June,Long Rains,Moderate,61,143,31.557377049180328,29.508196721311474,0,5
District Referral Hospital,Minor Injuries,June,Long Rains,Severe,17,44,44.411764705882355,27.647058823529413,17,0
District Referral Hospital,Minor Injuries,November,Short Rains,Mild,101,250,30.742574257425744,29.138613861386137,0,3
District Referral Hospital,Minor Injuries,November,Short Rains,Moderate,77,196,32.27272727272727,30.0,0,3
District Referral Hospital,Minor Injuries,November,Short Rains,Severe,28,62,30.714285714285715,26.714285714285715,28,0
District Referral Hospital,Minor Injuries,October,Cool/Dry,Mild,112,274,32.05357142857143,27.071428571428573,0,12
District Referral Hospital,Minor Injuries,October,Cool/Dry,Moderate,63,171,38.96825396825397,31.015873015873016,0,2
District Referral Hospital,Minor Injuries,October,Cool/Dry,Severe,22,54,34.54545454545455,32.95454545454545,22,0
District Referral Hospital,Minor Injuries,September,Cool/Dry,Mild,102,252,34.90196078431372,31.872549019607842,0,5
District Referral Hospital,Minor Injuries,September,Cool/Dry,Moderate,62,146,31.774193548387096,29.822580645161292,0,6
District Referral Hospital,Minor Injuries,September,Cool/Dry,Severe,29,71,29.137931034482758,27.517241379310345,29,2
District Referral Hospital,Pneumonia,August,Cool/Dry,Mild,81,206,30.308641975308642,30.08641975308642,0,2
District Referral Hospital,Pneumonia,August,Cool/Dry,Moderate,44,109,36.13636363636363,24.34090909090909,0,3
District Referral Hospital,Pneumonia,August,Cool/Dry,Severe,20,49,43.5,24.95,20,1
District Referral Hospital,Pneumonia,July,Long Rains,Mild,105,256,35.19047619047619,28.114285714285714,0,3
District Referral Hospital,Pneumonia,July,Long Rains,Moderate,90,217,33.77777777777778,30.18888888888889,0,10
District Referral Hospital,Pneumonia,July,Long Rains,Severe,33,84,31.96969696969697,32.36363636363637,33,1
District Referral Hospital,Pneumonia,June,Long Rains,Mild,96,216,31.458333333333332,30.9375,0,3
District Referral Hospital,Pneumonia,June,Long Rains,Moderate,74,183,33.24324324324324,27.39189189189189,0,1
District Referral Hospital,Pneumonia,June,Long Rains,Severe,33,82,35.303030303030305,29.515151515151516,33,1
District Referral Hospital,Pneumonia,November,Short Rains,Mild,74,192,31.35135135135135,29.7972972972973,0,4
District Referral Hospital,Pneumonia,November,Short Rains,Moderate,58,127,37.241379310344826,26.862068965517242,0,4
District Referral Hospital,Pneumonia,November,Short Rains,Severe,23,54,28.91304347826087,33.34782608695652,23,1
District Referral Hospital,Pneumonia,October,Cool/Dry,Mild,65,160,29.923076923076923,32.12307692307692,0,1
District Referral Hospital,Pneumonia,October,Cool/Dry,Moderate,50,116,34.2,28.24,0,2
District Referral Hospital,Pneumonia,October,Cool/Dry,Severe,30,67,34.0,27.7,30,0
District Referral Hospital,Pneumonia,September,Cool/Dry,Mild,70,181,32.57142857142857,30.314285714285713,0,4
District Referral Hospital,Pneumonia,September,Cool/Dry,Moderate,54,133,30.74074074074074,29.61111111111111,0,2
District Referral Hospital,Pneumonia,September,Cool/Dry,Severe,20,49,40.5,32.9,20,1
District Referral Hospital,Skin Infections,August,Cool/Dry,Mild,107,244,33.87850467289719,31.570093457943926,0,3
District Referral Hospital,Skin Infections,August,Cool/Dry,Moderate,98,246,33.36734693877551,29.081632653061224,0,7
District Referral Hospital,Skin Infections,August,Cool/Dry,Severe,39,99,27.564102564102566,31.923076923076923,39,1
District Referral Hospital,Skin Infections,July,Long Rains,Mild,84,195,32.61904761904762,31.702380952380953,0,3
District Referral Hospital,Skin Infections,July,Long Rains,Moderate,66,164,33.78787878787879,30.939393939393938,0,2
District Referral Hospital,Skin Infections,July,Long Rains,Severe,24,64,34.166666666666664,27.166666666666668,24,3
District Referral Hospital,Skin Infections,June,Long Rains,Mild,77,191,33.57142857142857,31.7012987012987,0,4
District Referral Hospital,Skin Infections,June,Long Rains,Moderate,48,112,36.25,26.708333333333332,0,4
District Referral Hospital,Skin Infections,June,Long Rains,Severe,20,41,27.0,23.1,20,3
District Referral Hospital,Skin Infections,November,Short Rains,Mild,84,211,35.833333333333336,32.63095238095238,0,7
District Referral Hospital,Skin Infections,November,Short Rains,Moderate,62,148,33.225806451612904,29.870967741935484,0,3
District Referral Hospital,Skin Infections,November,Short Rains,Severe,24,56,28.75,35.583333333333336,24,3
District Referral Hospital,Skin Infections,October,Cool/Dry,Mild,85,211,31.470588235294116,27.776470588235295,0,3
District Referral Hospital,Skin Infections,October,Cool/Dry,Moderate,61,151,32.868852459016395,26.62295081967213,0,3
District Referral Hospital,Skin Infections,October,Cool/Dry,Severe,28,66,37.857142857142854,32.464285714285715,28,2
District Referral Hospital,Skin Infections,September,Cool/Dry,Mild,118,306,36.86440677966102,33.771186440677965,0,5
District Referral Hospital,Skin Infections,September,Cool/Dry,Moderate,91,238,33.46153846153846,27.164835164835164,0,6
District Referral Hospital,Skin Infections,September,Cool/Dry,Severe,36,90,27.77777777777778,32.388888888888886,36,1
District Referral Hospital,Typhoid,August,Cool/Dry,Mild,46,102,38.91304347826087,28.369565217391305,0,2
District Referral Hospital,Typhoid,August,Cool/Dry,Moderate,46,111,38.47826086956522,28.391304347826086,0,4
District Referral Hospital,Typhoid,August,Cool/Dry,Severe,13,32,30.384615384615383,32.0,13,1
District Referral Hospital,Typhoid,July,Long Rains,Mild,46,114,31.956521739130434,28.41304347826087,0,2
District Referral Hospital,Typhoid,July,Long Rains,Moderate,32,77,31.875,25.125,0,0
District Referral Hospital,Typhoid,July,Long Rains,Severe,9,28,36.111111111111114,29.333333333333332,9,0
District Referral Hospital,Typhoid,June,Long Rains,Mild,98,261,32.44897959183673,29.846938775510203,0,3
District Referral Hospital,Typhoid,June,Long Rains,Moderate,63,164,36.74603174603175,27.49206349206349,0,6
District Referral Hospital,Typhoid,June,Long Rains,Severe,35,88,39.285714285714285,27.34285714285714,35,3
District Referral Hospital,Typhoid,November,Short Rains,Mild,125,300,35.56,28.408,0,7
District Referral Hospital,Typhoid,November,Short Rains,Moderate,86,220,30.46511627906977,27.627906976744185,0,7
District Referral Hospital,Typhoid,November,Short Rains,Severe,38,93,31.05263157894737,29.42105263157895,38,5
District Referral Hospital,Typhoid,October,Cool/Dry,Mild,66,164,32.121212121212125,34.696969696969695,0,3
District Referral Hospital,Typhoid,October,Cool/Dry,Moderate,49,123,33.16326530612245,25.448979591836736,0,1
District Referral Hospital,Typhoid,October,Cool/Dry,Severe,17,44,31.470588235294116,23.647058823529413,17,2
District Referral Hospital,Typhoid,September,Cool/Dry,Mild,57,127,32.01754385964912,32.421052631578945,0,2
District Referral Hospital,Typhoid,September,Cool/Dry,Moderate,38,84,34.473684210526315,25.789473684210527,0,2
District Referral Hospital,Typhoid,September,Cool/Dry,Severe,18,45,38.888888888888886,21.833333333333332,18,1
District Referral Hospital,Upper Respiratory Infection,August,Cool/Dry,Mild,301,782,32.94019933554817,29.74418604651163,0,13
District Referral Hospital,Upper Respiratory Infection,August,Cool/Dry,Moderate,203,483,32.19211822660098,30.113300492610836,0,5
District Referral Hospital,Upper Respiratory Infection,August,Cool/Dry,Severe,90,245,28.77777777777778,27.733333333333334,90,5
District Referral Hospital,Upper Respiratory Infection,July,Long Rains,Mild,291,735,33.55670103092783,32.02405498281787,0,17
District Referral Hospital,Upper Respiratory Infection,July,Long Rains,Moderate,189,490,31.825396825396826,30.24867724867725,0,9
District Referral Hospital,Upper Respiratory Infection,July,Long Rains,Severe,90,219,31.0,29.0,90,8
District Referral Hospital,Upper Respiratory Infection,June,Long Rains,Mild,284,702,33.69718309859155,31.514084507042252,0,18
District Referral Hospital,Upper Respiratory Infection,June,Long Rains,Moderate,195,501,34.48717948717949,28.374358974358973,0,9
District Referral Hospital,Upper Respiratory Infection,June,Long Rains,Severe,93,242,32.31182795698925,28.827956989247312,93,3
District Referral Hospital,Upper Respiratory Infection,November,Short Rains,Mild,204,519,30.931372549019606,30.230392156862745,0,6
District Referral Hospital,Upper Respiratory Infection,November,Short Rains,Moderate,158,377,34.81012658227848,29.0126582278481,0,3
District Referral Hospital,Upper Respiratory Infection,November,Short Rains,Severe,68,185,33.529411764705884,31.602941176470587,68,3
District Referral Hospital,Upper Respiratory Infection,October,Cool/Dry,Mild,232,561,34.78448275862069,28.81896551724138,0,6
District Referral Hospital,Upper Respiratory Infection,October,Cool/Dry,Moderate,158,380,34.050632911392405,29.556962025316455,0,5
District Referral Hospital,Upper Respiratory Infection,October,Cool/Dry,Severe,71,184,31.47887323943662,30.464788732394368,71,5
District Referral Hospital,Upper Respiratory Infection,September,Cool/Dry,Mild,188,486,32.659574468085104,29.904255319148938,0,11
District Referral Hospital,Upper Respiratory Infection,September,Cool/Dry,Moderate,134,329,34.92537313432836,29.611940298507463,0,8
District Referral Hospital,Upper Respiratory Infection,September,Cool/Dry,Severe,73,186,34.31506849315068,30.643835616438356,73,2
Eastside Health Center,Arthritis,August,Cool/Dry,Mild,19,45,27.63157894736842,28.789473684210527,0,1
Eastside Health Center,Arthritis,August,Cool/Dry,Moderate,20,48,28.0,28.2,0,0
Eastside Health Center,Arthritis,August,Cool/Dry,Severe,9,23,42.77777777777778,26.11111111111111,9,1
Eastside Health Center,Arthritis,July,Long Rains,Mild,20,52,30.5,33.4,0,0
Eastside Health Center,Arthritis,July,Long Rains,Moderate,21,50,37.38095238095238,29.80952380952381,0,3
Eastside Health Center,Arthritis,July,Long Rains,Severe,10,32,33.0,21.7,10,0
Eastside Health Center,Arthritis,June,Long Rains,Mild,31,77,35.0,32.354838709677416,0,3
Eastside Health Center,Arthritis,June,Long Rains,Moderate,15,38,29.666666666666668,27.733333333333334,0,1
Eastside Health Center,Arthritis,June,Long Rains,Severe,4,9,27.5,27.25,4,1
Eastside Health Center,Arthritis,November,Short Rains,Mild,28,76,34.642857142857146,32.392857142857146,0,4
Eastside Health Center,Arthritis,November,Short Rains,Moderate,15,44,32.333333333333336,28.933333333333334,0,1
Eastside Health Center,Arthritis,November,Short Rains,Severe,10,28,38.0,26.4,10,0
Eastside Health Center,Arthritis,October,Cool/Dry,Mild,24,55,32.083333333333336,30.25,0,0
Eastside Health Center,Arthritis,October,Cool/Dry,Moderate,19,52,40.78947368421053,25.736842105263158,0,0
Eastside Health Center,Arthritis,October,Cool/Dry,Severe,8,20,47.5,36.625,8,0
Eastside Health Center,Arthritis,September,Cool/Dry,Mild,25,61,38.6,26.0,0,0
Eastside Health Center,Arthritis,September,Cool/Dry,Moderate,17,50,36.1764705882353,26.823529411764707,0,2
Eastside Health Center,Arthritis,September,Cool/Dry,Severe,6,19,23.333333333333332,23.333333333333332,6,1
Eastside Health Center,Asthma,August,Cool/Dry,Mild,42,107,34.04761904761905,26.928571428571427,0,1
Eastside Health Center,Asthma,August,Cool/Dry,Moderate,30,73,35.0,30.433333333333334,0,2
Eastside Health Center,Asthma,August,Cool/Dry,Severe,7,10,35.0,27.0,7,0
Eastside Health Center,Asthma,July,Long Rains,Mild,55,140,34.81818181818182,35.70909090909091,0,2
Eastside Health Center,Asthma,July,Long Rains,Moderate,35,95,31.571428571428573,34.542857142857144,0,3
Eastside Health Center,Asthma,July,Long Rains,Severe,10,20,30.0,25.7,10,0
Eastside Health Center,Asthma,June,Long Rains,Mild,47,111,30.53191489361702,34.95744680851064,0,2
Eastside Health Center,Asthma,June,Long Rains,Moderate,29,77,31.20689655172414,32.724137931034484,0,0
Eastside Health Center,Asthma,June,Long Rains,Severe,16,46,29.375,34.8125,16,0
Eastside Health Center,Asthma,November,Short Rains,Mild,41,93,40.1219512195122,24.829268292682926,0,2
Eastside Health Center,Asthma,November,Short Rains,Moderate,32,81,36.5625,33.5625,0,1
Eastside Health Center,Asthma,November,Short Rains,Severe,12,31,35.833333333333336,20.25,12,0
Eastside Health Center,Asthma,October,Cool/Dry,Mild,42,111,36.42857142857143,31.785714285714285,0,2
Eastside Health Center,Asthma,October,Cool/Dry,Moderate,20,44,29.5,28.8,0,0
Eastside Health Center,Asthma,October,Cool/Dry,Severe,6,16,38.333333333333336,35.833333333333336,6,0
Eastside Health Center,Asthma,September,Cool/Dry,Mild,36,93,36.94444444444444,29.0,0,3
Eastside Health Center,Asthma,September,Cool/Dry,Moderate,20,45,39.0,33.45,0,2
Eastside Health Center,Asthma,September,Cool/Dry,Severe,10,27,28.0,31.2,10,0
Eastside Health Center,Diabetes,August,Cool/Dry,Mild,38,90,31.842105263157894,32.60526315789474,0,1
Eastside Health Center,Diabetes,August,Cool/Dry,Moderate,24,53,26.666666666666668,26.916666666666668,0,3
Eastside Health Center,Diabetes,August,Cool/Dry,Severe,10,22,29.0,28.7,10,0
Eastside Health Center,Diabetes,July,Long Rains,Mild,38,93,35.78947368421053,30.157894736842106,0,3
Eastside Health Center,Diabetes,July,Long Rains,Moderate,28,69,31.428571428571427,33.964285714285715,0,1
Eastside Health Center,Diabetes,July,Long Rains,Severe,16,49,30.0,28.125,16,1
Eastside Health Center,Diabetes,June,Long Rains,Mild,39,80,36.282051282051285,27.743589743589745,0,1
Eastside Health Center,Diabetes,June,Long Rains,Moderate,19,52,30.789473684210527,28.157894736842106,0,1
Eastside Health Center,Diabetes,June,Long Rains,Severe,14,35,39.285714285714285,23.785714285714285,14,1
Eastside Health Center,Diabetes,November,Short Rains,Mild,44,103,35.0,25.386363636363637,0,4
Eastside Health Center,Diabetes,November,Short Rains,Moderate,28,67,34.642857142857146,30.392857142857142,0,0
Eastside Health Center,Diabetes,November,Short Rains,Severe,15,43,31.0,29.466666666666665,15,0
Eastside Health Center,Diabetes,October,Cool/Dry,Mild,43,114,35.0,26.325581395348838,0,3
Eastside Health Center,Diabetes,October,Cool/Dry,Moderate,28,75,38.214285714285715,32.25,0,3
Eastside Health Center,Diabetes,October,Cool/Dry,Severe,17,42,33.8235294117647,25.823529411764707,17,2
Eastside Health Center,Diabetes,September,Cool/Dry,Mild,33,86,35.303030303030305,30.303030303030305,0,2
Eastside Health Center,Diabetes,September,Cool/Dry,Moderate,27,64,26.48148148148148,31.925925925925927,0,3
Eastside Health Center,Diabetes,September,Cool/Dry,Severe,4,11,27.5,25.75,4,0
Eastside Health Center,Diarrhea,August,Cool/Dry,Mild,78,201,31.53846153846154,31.23076923076923,0,7
Eastside Health Center,Diarrhea,August,Cool/Dry,Moderate,50,120,33.2,33.52,0,6
Eastside Health Center,Diarrhea,August,Cool/Dry,Severe,18,43,32.77777777777778,27.833333333333332,18,0
Eastside Health Center,Diarrhea,July,Long Rains,Mild,133,345,31.2406015037594,31.278195488721803,0,5
Eastside Health Center,Diarrhea,July,Long Rains,Moderate,96,226,34.166666666666664,30.958333333333332,0,8
Eastside Health Center,Diarrhea,July,Long Rains,Severe,30,81,29.666666666666668,30.733333333333334,30,1
Eastside Health Center,Diarrhea,June,Long Rains,Mild,122,300,34.01639344262295,28.18032786885246,0,7
Eastside Health Center,Diarrhea,June,Long Rains,Moderate,97,254,37.88659793814433,29.422680412371133,0,4
Eastside Health Center,Diarrhea,June,Long Rains,Severe,31,76,35.96774193548387,29.29032258064516,31,0
Eastside Health Center,Diarrhea,November,Short Rains,Mild,85,217,32.529411764705884,26.576470588235296,0,4
Eastside Health Center,Diarrhea,November,Short Rains,Moderate,53,136,35.37735849056604,30.037735849056602,0,2
Eastside Health Center,Diarrhea,November,Short Rains,Severe,26,67,38.07692307692308,30.923076923076923,26,1
Eastside Health Center,Diarrhea,October,Cool/Dry,Mild,63,162,32.61904761904762,32.904761904761905,0,7
Eastside Health Center,Diarrhea,October,Cool/Dry,Moderate,45,118,36.77777777777778,26.666666666666668,0,1
Eastside Health Center,Diarrhea,October,Cool/Dry,Severe,23,59,25.434782608695652,28.08695652173913,23,1
Eastside Health Center,Diarrhea,September,Cool/Dry,Mild,90,206,37.44444444444444,30.933333333333334,0,6
Eastside Health Center,Diarrhea,September,Cool/Dry,Moderate,58,160,34.827586206896555,28.310344827586206,0,6
Eastside Health Center,Diarrhea,September,Cool/Dry,Severe,22,57,34.09090909090909,33.81818181818182,22,1
Eastside Health Center,Hypertension,August,Cool/Dry,Mild,46,125,33.04347826086956,26.58695652173913,0,2
Eastside Health Center,Hypertension,August,Cool/Dry,Moderate,31,82,39.83870967741935,26.677419354838708,0,1
Eastside Health Center,Hypertension,August,Cool/Dry,Severe,22,54,37.27272727272727,24.818181818181817,22,1
Eastside Health Center,Hypertension,July,Long Rains,Mild,43,107,34.30232558139535,23.697674418604652,0,2
Eastside Health Center,Hypertension,July,Long Rains,Moderate,42,100,29.285714285714285,26.642857142857142,0,5
Eastside Health Center,Hypertension,July,Long Rains,Severe,16,37,35.625,37.5,16,1
Eastside Health Center,Hypertension,June,Long Rains,Mild,43,106,31.27906976744186,35.86046511627907,0,2
Eastside Health Center,Hypertension,June,Long Rains,Moderate,34,85,39.11764705882353,29.235294117647058,0,2
Eastside Health Center,Hypertension,June,Long Rains,Severe,17,45,25.0,26.88235294117647,17,0
Eastside Health Center,Hypertension,November,Short Rains,Mild,61,150,32.377049180327866,27.508196721311474,0,3
Eastside Health Center,Hypertension,November,Short Rains,Moderate,36,94,31.11111111111111,27.11111111111111,0,1
Eastside Health Center,Hypertension,November,Short Rains,Severe,15,37,34.333333333333336,28.933333333333334,15,0
Eastside Health Center,Hypertension,October,Cool/Dry,Mild,55,135,32.63636363636363,30.69090909090909,0,2
Eastside Health Center,Hypertension,October,Cool/Dry,Moderate,37,83,33.648648648648646,26.972972972972972,0,2
Eastside Health Center,Hypertension,October,Cool/Dry,Severe,11,27,26.818181818181817,29.181818181818183,11,0
Eastside Health Center,Hypertension,September,Cool/Dry,Mild,47,121,33.51063829787234,26.72340425531915,0,2
Eastside Health Center,Hypertension,September,Cool/Dry,Moderate,39,94,32.17948717948718,35.07692307692308,0,5
Eastside Health Center,Hypertension,September,Cool/Dry,Severe,18,40,28.88888888888889,27.11111111111111,18,1
Eastside Health Center,Malaria,August,Cool/Dry,Mild,110,300,33.63636363636363,28.336363636363636,0,4
Eastside Health Center,Malaria,August,Cool/Dry,Moderate,74,177,31.35135135135135,28.85135135135135,0,5
Eastside Health Center,Malaria,August,Cool/Dry,Severe,30,72,32.666666666666664,27.966666666666665,30,1
Eastside Health Center,Malaria,July,Long Rains,Mild,184,477,32.93478260869565,28.597826086956523,0,6
Eastside Health Center,Malaria,July,Long Rains,Moderate,127,297,34.21259842519685,28.80314960629921,0,3
Eastside Health Center,Malaria,July,Long Rains,Severe,51,127,32.84313725490196,32.05882352941177,51,1
Eastside Health Center,Malaria,June,Long Rains,Mild,175,456,29.4,27.64,0,9
Eastside Health Center,Malaria,June,Long Rains,Moderate,113,295,33.49557522123894,30.513274336283185,0,3
Eastside Health Center,Malaria,June,Long Rains,Severe,56,135,33.75,27.142857142857142,56,4
Eastside Health Center,Malaria,November,Short Rains,Mild,212,538,33.820754716981135,30.03301886792453,0,16
Eastside Health Center,Malaria,November,Short Rains,Moderate,124,304,34.83870967741935,29.475806451612904,0,5
Eastside Health Center,Malaria,November,Short Rains,Severe,48,126,35.416666666666664,27.229166666666668,48,0
Eastside Health Center,Malaria,October,Cool/Dry,Mild,116,300,36.46551724137931,29.732758620689655,0,5
Eastside Health Center,Malaria,October,Cool/Dry,Moderate,58,131,33.793103448275865,29.56896551724138,0,1
Eastside Health Center,Malaria,October,Cool/Dry,Severe,24,59,32.916666666666664,28.666666666666668,24,1
Eastside Health Center,Malaria,September,Cool/Dry,Mild,106,248,36.320754716981135,32.5377358490566,0,7
Eastside Health Center,Malaria,September,Cool/Dry,Moderate,81,207,30.925925925925927,30.012345679012345,0,3
Eastside Health Center,Malaria,September,Cool/Dry,Severe,40,110,35.75,28.7,40,5
Eastside Health Center,Minor Injuries,August,Cool/Dry,Mild,45,118,33.0,33.888888888888886,0,1
Eastside Health Center,Minor Injuries,August,Cool/Dry,Moderate,44,113,31.363636363636363,32.06818181818182,0,3
Eastside Health Center,Minor Injuries,August,Cool/Dry,Severe,20,45,29.5,25.8,20,0
Eastside Health Center,Minor Injuries,July,Long Rains,Mild,55,132,28.636363636363637,33.85454545454545,0,2
Eastside Health Center,Minor Injuries,July,Long Rains,Moderate,53,129,35.75471698113208,31.77358490566038,0,3
Eastside Health Center,Minor Injuries,July,Long Rains,Severe,11,28,30.454545454545453,21.272727272727273,11,1
Eastside Health Center,Minor Injuries,June,Long Rains,Mild,46,119,31.73913043478261,32.02173913043478,0,1
Eastside Health Center,Minor Injuries,June,Long Rains,Moderate,40,99,35.25,24.125,0,2
Eastside Health Center,Minor Injuries,June,Long Rains,Severe,17,38,40.88235294117647,38.23529411764706,17,0
Eastside Health Center,Minor Injuries,November,Short Rains,Mild,59,142,34.32203389830509,29.10169491525424,0,2
Eastside Health Center,Minor Injuries,November,Short Rains,Moderate,45,116,35.666666666666664,33.888888888888886,0,4
Eastside Health Center,Minor Injuries,November,Short Rains,Severe,14,32,31.428571428571427,36.357142857142854,14,0
Eastside Health Center,Minor Injuries,October,Cool/Dry,Mild,54,135,30.555555555555557,30.14814814814815,0,4
Eastside Health Center,Minor Injuries,October,Cool/Dry,Moderate,41,95,27.4390243902439,29.317073170731707,0,1
Eastside Health Center,Minor Injuries,October,Cool/Dry,Severe,21,56,23.095238095238095,32.714285714285715,21,1
Eastside Health Center,Minor Injuries,September,Cool/Dry,Mild,58,135,33.96551724137931,34.758620689655174,0,1
Eastside Health Center,Minor Injuries,September,Cool/Dry,Moderate,33,87,33.78787878787879,23.848484848484848,0,4
Eastside Health Center,Minor Injuries,September,Cool/Dry,Severe,15,33,31.666666666666668,26.333333333333332,15,1
Eastside Health Center,Pneumonia,August,Cool/Dry,Mild,44,109,35.22727272727273,31.454545454545453,0,2
Eastside Health Center,Pneumonia,August,Cool/Dry,Moderate,31,67,32.74193548387097,31.096774193548388,0,1
Eastside Health Center,Pneumonia,August,Cool/Dry,Severe,17,43,29.705882352941178,32.705882352941174,17,1
Eastside Health Center,Pneumonia,July,Long Rains,Mild,68,169,35.294117647058826,30.691176470588236,0,2
Eastside Health Center,Pneumonia,July,Long Rains,Moderate,61,140,31.721311475409838,29.229508196721312,0,4
Eastside Health Center,Pneumonia,July,Long Rains,Severe,24,62,33.333333333333336,28.375,24,1
Eastside Health Center,Pneumonia,June,Long Rains,Mild,64,168,36.875,26.296875,0,1
Eastside Health Center,Pneumonia,June,Long Rains,Moderate,40,91,29.75,26.025,0,1
Eastside Health Center,Pneumonia,June,Long Rains,Severe,10,28,28.0,21.1,10,0
Eastside Health Center,Pneumonia,November,Short Rains,Mild,49,118,36.42857142857143,31.122448979591837,0,3
Eastside Health Center,Pneumonia,November,Short Rains,Moderate,33,87,26.21212121212121,29.333333333333332,0,0
Eastside Health Center,Pneumonia,November,Short Rains,Severe,13,27,34.23076923076923,30.153846153846153,13,1
Eastside Health Center,Pneumonia,October,Cool/Dry,Mild,44,101,32.95454545454545,27.477272727272727,0,0
Eastside Health Center,Pneumonia,October,Cool/Dry,Moderate,46,123,28.47826086956522,33.06521739130435,0,0
Eastside Health Center,Pneumonia,October,Cool/Dry,Severe,17,39,35.0,29.176470588235293,17,1
Eastside Health Center,Pneumonia,September,Cool/Dry,Mild,49,120,32.142857142857146,31.877551020408163,0,2
Eastside Health Center,Pneumonia,September,Cool/Dry,Moderate,29,66,30.17241379310345,31.655172413793103,0,2
Eastside Health Center,Pneumonia,September,Cool/Dry,Severe,17,37,27.941176470588236,25.823529411764707,17,2
Eastside Health Center,Skin Infections,August,Cool/Dry,Mild,60,152,36.5,30.816666666666666,0,3
Eastside Health Center,Skin Infections,August,Cool/Dry,Moderate,49,122,30.510204081632654,30.836734693877553,0,1
Eastside Health Center,Skin Infections,August,Cool/Dry,Severe,27,67,28.703703703703702,31.814814814814813,27,1
